Wavenumber,Transmittance
1617.33981,0.67754
1618.30424,0.66913
1619.26866,0.66806
1620.23309,0.66146
1621.19751,0.66224
1622.16194,0.67723
1623.12636,0.68342
1624.09078,0.67858
1625.05521,0.67289
1626.01963,0.67788
1626.98406,0.69245
1627.94848,0.69429
1628.91291,0.69782
1629.87733,0.70209
1630.84176,0.70396
1631.80618,0.69677
1632.7706,0.68922
1633.73503,0.69763
1634.69945,0.7043
1635.66388,0.70517
1636.6283,0.70789
1637.59273,0.7119
1638.55715,0.71651
1639.52158,0.71933
1640.486,0.71877
1641.45042,0.71945
1642.41485,0.71418
1643.37927,0.70135
1644.3437,0.70762
1645.30812,0.71451
1646.27255,0.71841
1647.23697,0.72559
1648.2014,0.72223
1649.16582,0.70582
1650.13024,0.69959
1651.09467,0.71514
1652.05909,0.73159
1653.02352,0.74045
1653.98794,0.73979
1654.95237,0.73399
1655.91679,0.73375
1656.88122,0.73735
1657.84564,0.74098
1658.81006,0.74186
1659.77449,0.73915
1660.73891,0.74483
1661.70334,0.77391
1662.66776,0.78781
1663.63219,0.78865
1664.59661,0.79737
1665.56104,0.79799
1666.52546,0.79376
1667.48988,0.80797
1668.45431,0.82887
1669.41873,0.83234
1670.38316,0.85309
1671.34758,0.85528
1672.31201,0.83781
1673.27643,0.84123
1674.24086,0.87281
1675.20528,0.87578
