Wavelength,Transmittance
2825.71544,0.72855
2827.64426,0.72349
2829.57307,0.71819
2831.50189,0.7124
2833.4307,0.70584
2835.35952,0.69821
2837.28834,0.68962
2839.21715,0.68013
2841.14597,0.66948
2843.07478,0.65712
2845.0036,0.64358
2846.93242,0.63067
2848.86123,0.62039
2850.79005,0.61333
2852.71886,0.60865
2854.64768,0.60498
2856.5765,0.60138
2858.50531,0.59751
2860.43413,0.59337
2862.36294,0.58888
2864.29176,0.58432
2866.22058,0.58013
2868.14939,0.5765
2870.07821,0.57331
2872.00702,0.57076
2873.93584,0.56856
2875.86466,0.56596
2877.79347,0.56233
2879.72229,0.55799
2881.6511,0.55349
2883.57992,0.5493
2885.50874,0.54544
2887.43755,0.54188
2889.36637,0.5383
2891.29518,0.53433
2893.224,0.52976
2895.15282,0.52508
2897.08163,0.52084
